text,label
I can't concentrate on anytcing. My mind is all over the place.,medium
This is hard to say but i wanted to thank you. these calls have made a real difference.,low
I've never told anyone this but financial stress is overwhelming me. i don't know what to do.,medium
I wanted to thank you. These calls have made a real difference.,low
"Some days getting like, out of bed feels impossible.",medium
"I'm actually doing I mean, okay. Just wanted to hear a friendly voice.",low
i'm managing my stress better now. the journaling is helping.,low
"I've been feeling really you know, overwhelmed lately with everything going on.",medium
My health problems are making evlrything harder.,medium
I had a panic moment but I used my grounding techniques and it passed. Does that make sense?,low
I've made peace with the idea of ending things.,high
The hopelessness is crushing. I can't breathe under the weight of it.,high
my therapist suggested i call when i feel overwhelmed. i'm practicing coping skills.,low
i'm about to take all these pills. this is it.,imminent
I just swallowed everything in the medicine cabinet. I just needed to say it out loud.,imminent
The grief is still so raw. I miss them so much.,medium
"I'm tired basically, of pretending to be okay.",high
i'm feeling hopeful about the future for the first time in a while.,low
I'm struggling to pay my bills and it's causing so much stress. I'm sorry for calling.,medium
I have the means right here. I'm going through with it.,imminent
I've never told anyone this but i've been looking up methods online. just researching.,high
Things have gotten worse since last week. I had a minor setback but I used my coping strategies and got through it.,low
I don't see any point in continuing. Nothing ever gets better. I just needed to say it out loud.,high
I had a panic moment but I used my grounding techniques and it passed. Does that make sense?,low
I'm scared to say this but i'm exhausted but my mind won't let me rest.,medium
Things have gotten worse since last week. I'm actually doing okay. Just wanted to hear a friendly voice.,low
I need to tell someone that I've been sleeping better lately. The routine is working.,low
I've been thinking about death a lot lately.,high
The hopelessness is crushing. I can't breathe under the weight of it.,high
I haven't been sleeping well. I keep waking up anxious in the middle of the night.,medium
i just took a bunch of pills. i think i'm dying.,imminent
i feel trapped and i can't see any way out of this situation.,high
"I'm not where I want to be yet, but I can see progress.",low
"This is my final call. um, I wanted to say goodbye.",imminent
"I had a minor setback but I used my coping strategies honestly, and got through it.",low
I feel supported. Thank you for being there. Thank you for listening.,low
Feeling calmer today. I took a walk like you suggested. I needed someone to know.,low
I have the means right here. I'm going through with it.,imminent
My family doesn't know about this. I've been isolating myself from friends and family. I just don't have the energy.,medium
I have everything planned. It happens tonight. I just needed to say it out loud.,imminent
I wish I could just go to sleep and never wake up. I just needed to say it out loud.,high
"My chest feels tight all the um, time from the anxiety.",medium
"After what happened yesterday, Feeling grateful today. My family has been supportive.",low
i've been thinking about death a lot lately.,high
I had a panic moment but I used my grounding techniques and it passed.,low
I have my car running in the garage. I'm sy tired.,imminent
I wish I could just go to sleep and never wake up. I just needed to say it out loud.,high
My family doesn't know about this. I've been giving away my things. I won't need them much longer.,high
I have my car running in the garage. I'm so tired. I'm sorry for calling.,imminent
"Feeling calmer today. I took a walk like like, you suggested.",low
I've never told anyone this but the medication adjustment seems to be helping. i feel more stable.,low
"I've been isolating myself from friends and family. I just honestly, don't have the energy.",medium
"I feel like I'm basically, losing myself.",medium
The sadness comes in waves and sometimes it's hard to function. I don't know what to do.,medium
I just wanted to check in. Things have been going okay this week.,low
i'm struggling to pay my bills and it's causing so much stress.,medium
the sadness comes in waves and sometimes it's hard to function.,medium
Feeling calmer today. I took a walk like you suggested. I needed someone to know.,low
The pain is unbearabve. I just want it to stop.,high
I know this sounds crazy but i've taken the pills. i'm starting to feel dizzy.,imminent
I feel stupid saying this but i can't concentrate on anything. my mind is all over the place.,medium
I don't know how to explain this but i feel like i'm already dead inside.,high
Sometimes I think everyone would be better off without me. I'm sorry for calling.,high
i feel stuck. like nothing is ever going to change.,medium
The knife is against my wrist. I'm ready. I'm sorry for calling.,imminent
I woke up today and I'm bleeding out. I don't want help. I want this.,imminent
I'm in my car with the exhaust running into it. I just needed to say it out loud.,imminent
I don't know how to explain this but i'm going to do it in the next hour. i'm certain.,imminent
I feel stupid saying this but i have pills in my hand right now. i'm ready to take them all.,imminent
"I feel like, like I'm drowning and no one notices.",medium
i feel like i've already given up. i'm just going through the motions.,high
"Life has no um, meaning anymore. Why bother?",high
Please don't judge me but i feel empty inside. completely hollow and numb.,high
I've been having trouble egting. Nothing tastes good anymore.,medium
I need to tell someone that I've been having nightmares almost every night.,medium
I don't know how to explain this but things aren't perfect but i'm coping much better than before.,low
the world would be better without me in it.,high
I just wanted to check in. Things have been going okay this week.,low
"My chest feels tight all the um, time from the anxiety.",medium
This is my last call. I wanted someone to know I tried.,imminent
"This is my last call. I wanted someone to um, know I tried.",imminent
I've been having trouble egting. Nothing tastes good anymore.,medium
i just swallowed everything in the medicine cabinet.,imminent
I'm scared to say this but i'm struggling to pay my bills and it's causing so much stress.,medium
I've been having nightmares almost every night.,medium
I feel like I'm letting everyohe down.,medium
thank you for taking my call. i'm feeling better after our last conversation.,low
"Just checking in to I mean, say the strategies we discussed are working.",low
"I've been basically, having dark thoughts that scare me.",high
My family doesn't know about this. I just wanted to check in. Things have been going okay this week.,low
"I haven't been sleeping you know, well. I keep waking up anxious in the middle of the night.",medium
feeling calmer today. i took a walk like you suggested.,low
The world would be better without me in it. Thank you for listening.,high
I don't usually call but I had to talk to someone. I had a panic moment but I used my grounding techniques and it passed.,low
I'm going to do it in the next hour. I'm certain.,imminent
i've been having trouble eating. nothing tastes good anymore.,medium
This is my last call. I wanted someone to know I tried. I'm sorry for calling.,imminent
I feel like I'm drowning and no one notices.,medium
the pain is unbearable. i just want it to stop.,high
I know this sounds crazy but i'm standing on the bridge. i don't know why i called.,imminent
I've been drinking more to cope and I know it's not healthy. Does that make sense?,medium
I don't want to exist anymore.,high
"I'm at the uh, edge. One more step and it's over.",imminent
"I wanted to thank you. These calls have made a basically, real difference.",low
I wrote my nxte. Everything is ready. This is the end.,imminent
Please don't judge me but i'm tired of pretending to be okay.,high
I've taken the pills. I't starting to feel dizzy.,imminent
I need to tell someone that I've been practicing what we talked about and it's getting easier.,low
I've started wrihing goodbye letters.,high
I feel stupid saying this but i'm so tired all the time but i can't seem to rest properly.,medium
I'm in the bathtub with the razor. This is the end.,imminent
I've never told anyone this but i'm cutting deeper than before. i want it to end.,imminent
"I have basically, everything planned. It happens tonight.",imminent
I can't remember the last time I felt truly happy. Thank you for listening.,medium
I've been isolating myself from friends and family. I just don't have the energy.,medium
"The new routine is working. I I mean, wake up feeling more rested.",low
I need to tell someone that I'm tired of pretending to be okay.,high
